0:20:33 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 76, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:20:36 13/12/2072, Paramet, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 76erature: 30/30°C, Humidity: 35/60%,
0:24:57 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 76, Exaustor: 1, Temperature: 29/30°C, Humidity: 35/60%,
0:25:01 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 77, Exaustor: 1, Temperature: 29/30°C, Humidity: 35/60%,
0:25:04 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 77, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:25:07 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 77, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:25:10 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 77, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:25:13 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 77, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:25:16 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 76, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:25:19 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 77, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:25:23 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 77, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:25:26 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 77, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:25:29 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 76, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
0:25:32 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 76, Exaustor: 1, Temperature: 30/30°C, Humidity: 35/60%,
